left_x,left_y,right_x,right_y,segment
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
573.4843139648438,476.9260559082031,0.0,0.0,0.0
573.4899291992188,476.9225769042969,341.1473083496094,476.9184265136719,0.0
573.4868774414062,476.9231872558594,341.1482238769531,476.9184875488281,0.0
576.0670166015625,476.9195556640625,350.29693603515625,476.9266662597656,0.0
574.758056640625,476.919921875,352.91290283203125,476.9263916015625,0.0
577.392822265625,476.92413330078125,359.3676452636719,476.9189758300781,0.0
578.7186279296875,476.9200744628906,359.4148864746094,476.9093017578125,0.0
578.7340698242188,476.9195556640625,364.6325378417969,476.91192626953125,0.0
580.0360107421875,476.9154968261719,363.3240661621094,476.89349365234375,0.0
581.322021484375,476.9078674316406,363.33209228515625,466.4672546386719,0.0
581.3499145507812,476.9020080566406,367.2630310058594,465.1880187988281,0.0
582.6019897460938,466.47796630859375,371.1149291992188,466.4298706054688,0.0
582.6320190429688,463.8579406738281,372.4715270996094,465.1446838378906,0.0
581.3251342773438,462.5337219238281,377.6826477050781,463.7798156738281,0.0
581.3251342773438,462.5294189453125,377.6820068359375,463.77972412109375,0.0
580.0670166015625,457.31524658203125,380.3246154785156,461.22271728515625,0.0
579.9970092773438,453.4095458984375,381.6597900390625,454.7300109863281,0.0
577.4135131835938,453.4364318847656,385.5175476074219,453.3735961914063,0.0
577.353515625,450.7801208496094,385.5373840332031,446.8805236816406,0.0
576.079345703125,448.167724609375,388.1515808105469,444.28558349609375,0.0
570.9072875976562,445.5556335449219,386.8289794921875,440.3446044921875,0.0
569.5817260742188,445.5492858886719,385.5280456542969,437.7169189453125,0.0
568.2547607421875,444.27740478515625,384.2474060058594,436.4287414550781,0.0
566.9473266601562,444.2821044921875,385.515380859375,435.1311340332031,0.0
564.3314819335938,445.54522705078125,386.82452392578125,433.8177490234375,0.0
561.7283935546875,444.271484375,386.8311462402344,432.4861755371094,0.0
561.7293090820311,444.2734680175781,386.8307800292969,432.48565673828125,0.0
559.1519775390625,445.56292724609375,384.24102783203125,426.0050964355469,0.0
557.8048095703125,444.3117980957031,384.2106628417969,424.7202453613281,0.0
556.4815673828125,445.57916259765625,382.9235229492188,422.08734130859375,0.0
553.8964233398439,445.5561828613281,382.92608642578125,419.458740234375,0.0
