left_x,left_y,right_x,right_y,segment
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,275.87844848632807,476.9240417480469,0.0
0.0,0.0,295.4327087402344,476.926513671875,0.0
0.0,0.0,307.1900939941406,476.9239196777344,0.0
513.453857421875,476.9318237304688,317.63189697265625,476.9195861816406,0.0
513.40576171875,476.9201354980469,322.8811340332031,467.7518005371094,0.0
509.5343933105469,476.9208984375,325.50567626953125,462.5114135742188,0.0
509.529052734375,476.9044799804688,328.1129150390625,461.2032470703125,0.0
506.8801574707031,476.8916931152344,326.7897644042969,457.31475830078125,0.0
506.9309387207031,463.78411865234375,321.5917053222656,454.6700134277344,0.0
505.63232421875,456.0068054199219,318.9961853027344,454.7008361816406,0.0
505.62017822265625,444.26251220703125,318.91241455078125,454.70404052734375,0.0
505.6247863769531,425.9805603027344,317.6174011230469,454.7007751464844,0.0
505.583984375,403.8076171875,316.31549072265625,455.9946899414063,0.0
496.4967956542969,381.5879211425781,311.1338195800781,456.0191040039063,0.0
505.5938415527344,338.5788879394531,308.5399475097656,455.9922180175781,0.0
492.5579833984375,305.88140869140625,307.173095703125,454.7574768066406,0.0
495.1810302734375,256.31854248046875,300.70159912109375,454.696044921875,0.0
485.9962158203125,232.7877960205078,298.0618591308594,454.6659240722656,0.0
485.9961242675781,205.43588256835938,296.70892333984375,453.4083862304688,0.0
484.7526550292969,180.6244964599609,288.9603271484375,452.06048583984375,0.0
479.5210266113281,151.95603942871094,287.6386413574219,452.0856628417969,0.0
475.5558166503906,136.25874328613278,286.3301086425781,449.47442626953125,0.0
471.6854553222656,120.61344146728516,285.01971435546875,449.45928955078125,0.0
466.4487915039063,111.45945739746094,282.4342956542969,448.1676940917969,0.0
463.8597717285156,107.50726318359376,279.8013916015625,446.8745727539063,0.0
462.49127197265625,101.0100555419922,279.83627319335943,448.1932678222656,0.0
456.04443359375,99.70743560791016,279.83370971679693,448.19873046875,0.0
454.7171630859375,99.74798583984376,279.82949829101557,448.1952819824219,1.0
453.42327880859375,106.21194458007812,282.39862060546875,450.8037414550781,0.0
453.3677673339844,108.8561553955078,283.7051696777344,452.0467529296875,0.0
453.36279296875,119.2089385986328,284.99041748046875,452.0618896484375,0.0
453.3731384277344,128.3966064453125,285.0216979980469,450.7599182128906,0.0
453.4261169433594,140.18576049804688,286.36529541015625,452.0650329589844,0.0
